Name,osm:wikidata,admin,wiki:logs,Wikidata Link,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:no,wiki:label:nb,wiki:label:nn,wiki:label:sv
Thailand,Q869,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q869,"No no label,nb Present,nn Present,sv Present,",Q869,Thailand,Thailand,,,Thailand,Thailand,Thailand
Kosovo,Q1246,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1246,"No no label,nb Present,nn Present,sv Present,",Q1246,Kosovo,Kosovo,,,Kosovo,Kosovo,Kosovo
The Bahamas,Q778,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q778,"No no label,nb Present,nn Present,sv Present,",Q778,The Bahamas,The Bahamas,,,Bahamas,Bahamas,Bahamas
Sri Lanka,Q854,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q854,"No no label,nb Present,nn Present,sv Present,",Q854,Sri Lanka,Sri Lanka,,,Sri Lanka,Sri Lanka,Sri Lanka
Scarborough Shoal,Q628716,country,"No no label,nb Present,No nn label,sv Present,",https://wikidata.org/wiki/Q628716,"No no label,nb Present,No nn label,sv Present,",Q628716,Scarborough Shoal,Scarborough Shoal,,,Panatagrevene,,Panatag
Singapore,Q334,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q334,"No no label,nb Present,nn Present,sv Present,",Q334,Singapore,Singapore,,,Singapore,Singapore,Singapore
Saint Helena,Q34497,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q34497,"No no label,nb Present,nn Present,sv Present,",Q34497,Saint Helena,Saint Helena,,,St. Helena,St. Helena,Sankta Helena
New Zealand,Q664,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q664,"No no label,nb Present,nn Present,sv Present,",Q664,New Zealand,New Zealand,,,New Zealand,New Zealand,Nya Zeeland
Mali,Q912,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q912,"No no label,nb Present,nn Present,sv Present,",Q912,Mali,Mali,,,Mali,Mali,Mali
Clipperton Island,Q161258,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q161258,"No no label,nb Present,nn Present,sv Present,",Q161258,Clipperton Island,Clipperton Island,,,Clipperton,Clipperton,Clippertonön
Trinidad and Tobago,Q754,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q754,"No no label,nb Present,nn Present,sv Present,",Q754,Trinidad and Tobago,Trinidad and Tobago,,,Trinidad og Tobago,Trinidad og Tobago,Trinidad och Tobago
Republic of the Congo,Q971,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q971,"No no label,nb Present,nn Present,sv Present,",Q971,Republic of the Congo,Republic of the Congo,,,Republikken Kongo,Kongo-Brazzaville,Kongo-Brazzaville
Central African Republic,Q929,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q929,"No no label,nb Present,nn Present,sv Present,",Q929,Central African Republic,Central African Republic,,,Den sentralafrikanske republikk,Den sentralafrikanske republikken,Centralafrikanska republiken
Isle of Man,Q9676,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q9676,"No no label,nb Present,nn Present,sv Present,",Q9676,Isle of Man,Isle of Man,,,Man,Isle of Man,Isle of Man
Bajo Nuevo Bank,Q1257783,country,"No no label,No nb label,No nn label,sv Present,",https://wikidata.org/wiki/Q1257783,"No no label,No nb label,No nn label,sv Present,",Q1257783,Bajo Nuevo Bank,Bajo Nuevo Bank,,,,,Bajo Nuevo
Niger,Q1032,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1032,"No no label,nb Present,nn Present,sv Present,",Q1032,Niger,Niger,,,Niger,Niger,Niger
Hungary,Q28,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q28,"No no label,nb Present,nn Present,sv Present,",Q28,Hungary,Hungary,,,Ungarn,Ungarn,Ungern
Sudan,Q1049,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1049,"No no label,nb Present,nn Present,sv Present,",Q1049,Sudan,Sudan,,,Sudan,Sudan,Sudan
Belarus,Q184,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q184,"No no label,nb Present,nn Present,sv Present,",Q184,Belarus,Belarus,,,Hviterussland,Kviterussland,Vitryssland
South Africa,Q258,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q258,"No no label,nb Present,nn Present,sv Present,",Q258,South Africa,South Africa,,,Sør-Afrika,Sør-Afrika,Sydafrika
