City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Kyoto,OSM,ramya,Tourism,Nijō Castle,二条城,https://batpad.github.io/quick-geocode/?name=Nijō%20Castle&city=Kyoto,"https://www.google.com/maps/search/Nijō+Castle,+Kyoto/",way,57111281,"https://www.google.co.in/maps/place/Nij%C5%8D+Castle/@35.0142318,135.7468758,17.84z/data=!4m5!3m4!1s0x600107d40a2b9b0b:0x106b8759906a2f2f!8m2!3d35.0142299!4d135.748218",http://www.openstreetmap.org/?mlat=35.0142299&mlon=135.748218#map=18/35.0142318/135.7468758&layers=D,quick-geocode,,,,,,ja:二条城
Kyoto,OSM,RichRico,Tourism,Okazaki Park,冈崎公园,https://batpad.github.io/quick-geocode/?name=Okazaki%20Park&city=Kyoto,"https://www.google.com/maps/search/Okazaki+Park,+Kyoto/",way,432843532,,#N/A,overpass,,,,,,ja:岡崎公園 (京都市)
Kyoto,OSM,ramya,Tourism,Umekōji Steam Locomotive Museum,梅小路蒸汽火车纪念馆,https://batpad.github.io/quick-geocode/?name=Umekōji%20Steam%20Locomotive%20Museum&city=Kyoto,"https://www.google.com/maps/search/Umekōji+Steam+Locomotive+Museum,+Kyoto/",node,1422966367,"https://www.google.com.pe/maps/place/Kyoto+Railway+Museum/@34.9869535,135.74218,18.67z/data=!4m5!3m4!1s0x6001061746adc243:0x899ffa889ace79ed!8m2!3d34.9869656!4d135.7428432",http://www.openstreetmap.org/?mlat=34.9869656&mlon=135.7428432#map=18/34.9869535/135.74218&layers=D,google,,,,,,ja:梅小路蒸気機関車館
London,OSM,,Hotel,Rosewood London,伦敦大法官法院酒店,https://batpad.github.io/quick-geocode/?name=Rosewood%20London&city=London,"https://www.google.com/maps/search/Rosewood+London,+London/",relation,1967702,,#N/A,,-0.117545480985641,51.5172882368011,Rosewood London,,,en:Rosewood London Hotel
London,OSM,,Hotel,Strand Palace Hotel,斯特兰德宫酒店,https://batpad.github.io/quick-geocode/?name=Strand%20Palace%20Hotel&city=London,"https://www.google.com/maps/search/Strand+Palace+Hotel,+London/",node,603137904,,#N/A,,-0.120169541519880,51.5110011119531,Strand Palace Hotel,,,en:Strand Palace Hotel
London,OSM,,Restaurant,Borough Market,博罗市场,https://batpad.github.io/quick-geocode/?name=Borough%20Market&city=London,"https://www.google.com/maps/search/Borough+Market,+London/",way,24282400,,#N/A,,-0.09053715,51.50548836,Borough Market,,,en:Borough Market
London,OSM,,Shopping,Columbia Road Flower Market,哥伦比亚路鲜花市场,https://batpad.github.io/quick-geocode/?name=Columbia%20Road%20Flower%20Market&city=London,"https://www.google.com/maps/search/Columbia+Road+Flower+Market,+London/",way,350349593,,#N/A,,-0.0696046,51.52920396,Columbia Road Flower Market,,,en:Columbia Road Flower Market
London,OSM,,Shopping,Harrods,哈罗德百货,https://batpad.github.io/quick-geocode/?name=Harrods&city=London,"https://www.google.com/maps/search/Harrods,+London/",way,25739565,,#N/A,,-0.1624962355,51.49942398,Harrods,,Q332474,en:Harrods
London,OSM,,Shopping,Selfridges,塞尔福里奇百货,https://batpad.github.io/quick-geocode/?name=Selfridges&city=London,"https://www.google.com/maps/search/Selfridges,+London/",way,39814415,,#N/A,,-0.1528339,51.5146856,Selfridges,,,en:Selfridges
London,OSM,,Tourism,Big Ben,大本钟,https://batpad.github.io/quick-geocode/?name=Big%20Ben&city=London,"https://www.google.com/maps/search/Big+Ben,+London/",node,1802652184,,#N/A,,-0.124390992086976,51.5007313501467,Big Ben,,,en:Big Ben
