@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,2334188558,Kecamatan Bolo,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,2072800010,Kecamatan Donggo,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1696013934,Kecamatan Soromandi,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,2334194995,Kecamatan Monta,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,3621237593,Kecamatan Belo,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1396988330,Kecamatan Langgudu,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1396988300,Kecamatan  Lambu,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,3621238055,Kecamatan Palibelo,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,3566530964,Kecamatan Lambitu,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1405153105,Kecamatan Wawo,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1406939048,Kota Bima,Bima,,Q14128,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,No ru label,pt Present,ar Present,",,Bima,Bima,,比馬,,,,,,,Bima,Bima,Bima,ビマ,비마,,Bima,بيما
node,2334192115,Kecamatan  Sape,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,2334185078,Kecamatan Ambalawi,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,297406682,Makassar,Makassar,en:Makassar,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,zh-hk Present,zh-tw Present,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q14634,Makassar,Makassar,,望加錫,望加锡,,,孟加錫,望加錫,मकासर,Macasar,Makassar,Makassar,マカッサル,마카사르,Макасар,Macáçar,ماكاسار
